role_id,Role,Technology,Technology description
1,UX Designer,AWS-CADs,"AWS-CADs, a suite of AWS services for CAD workflows."
2,Product Manager,AWS,"Amazon Web Services, a comprehensive and widely adopted cloud platform."
3,Systems Architect,AWS,"Amazon Web Services, a comprehensive and widely adopted cloud platform."
4,Database Administrator,Kubernetes,"An open-source system for automating deployment, scaling, and management of containerized applications."
5,Systems Architect,Kubernetes,"An open-source system for automating deployment, scaling, and management of containerized applications."
6,Product Manager,Kubernetes,"An open-source system for automating deployment, scaling, and management of containerized applications."
7,Software Engineer,AWS-CADs,"AWS-CADs, a suite of AWS services for CAD workflows."
8,Business Analyst,AWS,"Amazon Web Services, a comprehensive and widely adopted cloud platform."
9,Product Manager,AWS,"Amazon Web Services, a comprehensive and widely adopted cloud platform."
10,Network Engineer,Cortex,"Cortex, an internal AI API for various machine learning tasks."
11,Database Administrator,Kubernetes,"An open-source system for automating deployment, scaling, and management of containerized applications."
12,Business Analyst,Cortex,"Cortex, an internal AI API for various machine learning tasks."
13,Software Engineer,Cortex,"Cortex, an internal AI API for various machine learning tasks."
14,UX Designer,Kubernetes,"An open-source system for automating deployment, scaling, and management of containerized applications."
15,UX Designer,Kubernetes,"An open-source system for automating deployment, scaling, and management of containerized applications."
16,DevOps Engineer,AWS,"Amazon Web Services, a comprehensive and widely adopted cloud platform."
17,DevOps Engineer,AWS,"Amazon Web Services, a comprehensive and widely adopted cloud platform."
18,Business Analyst,Kubernetes,"An open-source system for automating deployment, scaling, and management of containerized applications."
19,Product Manager,AWS,"Amazon Web Services, a comprehensive and widely adopted cloud platform."
20,Software Engineer,AWS-CADs,"AWS-CADs, a suite of AWS services for CAD workflows."
21,UX Designer,Kubernetes,"An open-source system for automating deployment, scaling, and management of containerized applications."
22,Quality Assurance,Kubernetes,"An open-source system for automating deployment, scaling, and management of containerized applications."
23,Database Administrator,Cortex,"Cortex, an internal AI API for various machine learning tasks."
24,Quality Assurance,AWS,"Amazon Web Services, a comprehensive and widely adopted cloud platform."
25,Quality Assurance,AWS,"Amazon Web Services, a comprehensive and widely adopted cloud platform."
26,Quality Assurance,AWS-CADs,"AWS-CADs, a suite of AWS services for CAD workflows."
27,Database Administrator,Cortex,"Cortex, an internal AI API for various machine learning tasks."
28,Product Manager,Kubernetes,"An open-source system for automating deployment, scaling, and management of containerized applications."
29,UX Designer,AWS-CADs,"AWS-CADs, a suite of AWS services for CAD workflows."
30,Business Analyst,AWS,"Amazon Web Services, a comprehensive and widely adopted cloud platform."
31,Database Administrator,AWS-CADs,"AWS-CADs, a suite of AWS services for CAD workflows."
32,Network Engineer,Kubernetes,"An open-source system for automating deployment, scaling, and management of containerized applications."
33,Database Administrator,Cortex,"Cortex, an internal AI API for various machine learning tasks."
34,UX Designer,AWS-CADs,"AWS-CADs, a suite of AWS services for CAD workflows."
35,Systems Architect,AWS,"Amazon Web Services, a comprehensive and widely adopted cloud platform."
36,UX Designer,AWS-CADs,"AWS-CADs, a suite of AWS services for CAD workflows."
37,Software Engineer,Cortex,"Cortex, an internal AI API for various machine learning tasks."
38,Systems Architect,Kubernetes,"An open-source system for automating deployment, scaling, and management of containerized applications."
39,UX Designer,AWS,"Amazon Web Services, a comprehensive and widely adopted cloud platform."
40,DevOps Engineer,AWS-CADs,"AWS-CADs, a suite of AWS services for CAD workflows."
41,Network Engineer,AWS,"Amazon Web Services, a comprehensive and widely adopted cloud platform."
42,Network Engineer,Cortex,"Cortex, an internal AI API for various machine learning tasks."
43,Business Analyst,Kubernetes,"An open-source system for automating deployment, scaling, and management of containerized applications."
44,Data Scientist,AWS-CADs,"AWS-CADs, a suite of AWS services for CAD workflows."
45,Network Engineer,Cortex,"Cortex, an internal AI API for various machine learning tasks."
46,Systems Architect,AWS,"Amazon Web Services, a comprehensive and widely adopted cloud platform."
47,Quality Assurance,AWS,"Amazon Web Services, a comprehensive and widely adopted cloud platform."
48,Software Engineer,Cortex,"Cortex, an internal AI API for various machine learning tasks."
49,UX Designer,AWS,"Amazon Web Services, a comprehensive and widely adopted cloud platform."
50,DevOps Engineer,AWS,"Amazon Web Services, a comprehensive and widely adopted cloud platform."
